sensor_id,x,y,time,temperature
0,-1.0,-1.0,2.5,0.0
0,-1.0,-0.98,2.5,0.0
0,-1.0,-0.96,2.5,0.0
0,-1.0,-0.94,2.5,0.0
0,-1.0,-0.92,2.5,0.0
0,-1.0,-0.9,2.5,0.0
0,-1.0,-0.88,2.5,0.0
0,-1.0,-0.86,2.5,0.0
0,-1.0,-0.84,2.5,0.0
0,-1.0,-0.8200000000000001,2.5,0.0
0,-1.0,-0.8,2.5,0.0
0,-1.0,-0.78,2.5,0.0
0,-1.0,-0.76,2.5,0.0
0,-1.0,-0.74,2.5,0.0
0,-1.0,-0.72,2.5,0.0
0,-1.0,-0.7,2.5,0.0
0,-1.0,-0.6799999999999999,2.5,0.0
0,-1.0,-0.6599999999999999,2.5,0.0
0,-1.0,-0.64,2.5,0.0
0,-1.0,-0.62,2.5,0.0
0,-1.0,-0.6,2.5,0.0
0,-1.0,-0.5800000000000001,2.5,0.0
0,-1.0,-0.56,2.5,0.0
0,-1.0,-0.54,2.5,0.0
0,-1.0,-0.52,2.5,0.0
0,-1.0,-0.5,2.5,0.0
0,-1.0,-0.48,2.5,0.0
0,-1.0,-0.45999999999999996,2.5,0.0
0,-1.0,-0.43999999999999995,2.5,0.0
0,-1.0,-0.42000000000000004,2.5,0.0
0,-1.0,-0.4,2.5,0.0
0,-1.0,-0.38,2.5,0.0
0,-1.0,-0.36,2.5,0.0
0,-1.0,-0.33999999999999997,2.5,0.0
0,-1.0,-0.31999999999999995,2.5,0.0
0,-1.0,-0.29999999999999993,2.5,0.0
0,-1.0,-0.28,2.5,0.0
0,-1.0,-0.26,2.5,0.0
0,-1.0,-0.24,2.5,0.0
0,-1.0,-0.21999999999999997,2.5,0.0
0,-1.0,-0.19999999999999996,2.5,0.0
0,-1.0,-0.17999999999999994,2.5,0.0
0,-1.0,-0.16000000000000003,2.5,0.0
0,-1.0,-0.14,2.5,0.0
0,-1.0,-0.12,2.5,0.0
0,-1.0,-0.09999999999999998,2.5,0.0
0,-1.0,-0.07999999999999996,2.5,0.0
0,-1.0,-0.05999999999999994,2.5,0.0
